model,stratum,n,metric,base_mean,cot_mean,delta_mean,delta_ci_low,delta_ci_high,wins,ties,losses,win_rate,tie_rate,loss_rate,mcnemar_exact_p
gpt-4o-mini,support fully retrieved,138,exact_match,0.17391304347826086,0.18115942028985507,0.007246376811594203,-0.014492753623188406,0.036231884057971016,2,135,1,0.014492753623188406,0.9782608695652174,0.007246376811594203,1.0
gpt-4o-mini,support fully retrieved,138,token_f1,0.28240817343735236,0.2625601859318385,-0.019847987505513878,-0.03304249932450324,-0.006660409134518659,25,51,62,0.18115942028985507,0.3695652173913043,0.4492753623188406,
gpt-4o-mini,support fully retrieved,138,rouge_l,0.25638058546785497,0.23339851730922723,-0.02298206815862773,-0.035408154609342185,-0.010878066506269964,24,51,63,0.17391304347826086,0.3695652173913043,0.45652173913043476,
gpt-4o-mini,partial support retrieved,29,exact_match,0.10344827586206896,0.06896551724137931,-0.034482758620689655,-0.10344827586206896,0.0,0,28,1,0.0,0.9655172413793104,0.034482758620689655,1.0
gpt-4o-mini,partial support retrieved,29,token_f1,0.2562106829927909,0.23763626760488163,-0.01857441538790925,-0.03872587746453863,7.611399426931954e-05,3,15,11,0.10344827586206896,0.5172413793103449,0.3793103448275862,
gpt-4o-mini,partial support retrieved,29,rouge_l,0.2104116645193489,0.1945150015102932,-0.015896663009055727,-0.03233121476869134,-0.00188817826091619,3,15,11,0.10344827586206896,0.5172413793103449,0.3793103448275862,
gpt-4o-mini,no support retrieved,233,exact_match,0.12446351931330472,0.12017167381974249,-0.004291845493562232,-0.02145922746781116,0.008583690987124463,1,230,2,0.004291845493562232,0.9871244635193133,0.008583690987124463,1.0
gpt-4o-mini,no support retrieved,233,token_f1,0.2252989938780373,0.212343957072634,-0.012955036805403292,-0.02134187032159378,-0.005127105747784805,51,98,84,0.21888412017167383,0.4206008583690987,0.3605150214592275,
gpt-4o-mini,no support retrieved,233,rouge_l,0.1928517559850608,0.17917092184807906,-0.013680834136981726,-0.02171209934386621,-0.006459863742743581,53,97,83,0.22746781115879827,0.41630901287553645,0.3562231759656652,
