run,model,prompt,scheduled,completed,failed,completion_rate,exact_match,token_f1,rouge_l,answerability_decision_accuracy,citation_presence_rate,structural_citation_coverage,mean_unique_cited_sources,generation_p50_s,generation_p95_s,total_p50_s,total_p95_s
4o-mini-base,gpt-4o-mini,Base,500,500,0,1.0,0.14,0.24724275828682063,0.2160422955253607,0.826,0.7825,0.8942284508740206,1.4575,2.9156833335,5.735040501,13.98566533,17.208296791000002
4o-mini-CoT,gpt-4o-mini,CoT,500,500,0,1.0,0.1375,0.23150224854264753,0.1989918880576857,0.84,0.81,0.8791482951205173,1.675,3.678935526,6.172614445,14.7446951305,18.421413783
deepseekv3.1-thinking-base,deepseek-v3.1-thinking,Base,500,500,0,1.0,0.2225,0.17841324413862336,0.15275055977462806,0.92,0.9,0.8238268743783449,2.5725,7.279412425,15.508172420000001,16.149323415999998,24.55142463
deepseekv3.1-thinking-CoT,deepseek-v3.1-thinking,CoT,500,493,7,0.986,0.22391857506361323,0.16496340192658726,0.1414769088038723,0.922920892494929,0.9083969465648855,0.7514638274033857,2.7099236641221376,7.741607426,20.409258682,18.522674158,30.997684736
glm5-base,glm-5,Base,500,500,0,1.0,0.2525,0.1691063641064569,0.14903167361005795,0.918,0.9175,0.8025902714440184,2.7175,4.1691917,8.79222241,14.287233269,19.094346558
glm5-CoT,glm-5,CoT,500,500,0,1.0,0.25,0.16234737948948233,0.14272936070094663,0.934,0.9375,0.7811614781534567,3.045,4.1518958415,8.729003757000001,15.961041036,21.225006113
qwen3-8b-base,qwen3-8b,Base,500,500,0,1.0,0.1925,0.21977433826676154,0.18916911874243417,0.958,0.9775,0.6578295778295777,1.7925,4.767430435500001,9.134310503999998,14.148017540500001,18.512000204
qwen-8b-CoT,qwen3-8b,CoT,500,500,0,1.0,0.1725,0.20054142101557773,0.17168988311612057,0.952,0.9825,0.5815420655115312,1.8125,4.972759142999999,10.466751675,14.5810669635,20.155523724
