Config,recall@1,hit@1,mrr@1,ndcg@1,precision@1,recall@3,hit@3,mrr@3,ndcg@3,precision@3,recall@5,hit@5,mrr@5,ndcg@5,precision@5,recall@10,hit@10,mrr@10,ndcg@10,precision@10,exact_match,token_f1,rouge_l,unanswerable_accuracy,avg_reranker_latency,avg_gen_latency,avg_total_latency
Rerank-None-Hybrid,0.096,0.11,0.11,0.11,0.11,0.2213,0.2475,0.1658,0.1721,0.0858,0.3291,0.3675,0.1933,0.218,0.0775,0.4842,0.5375,0.2167,0.2714,0.0578,0.1475,0.2801,0.2453,0.856,0.0,3.2834,3.2834
Rerank-RRF-Hybrid,0.1343,0.15,0.15,0.15,0.15,0.25,0.2775,0.1992,0.204,0.095,0.321,0.3525,0.2163,0.2335,0.0745,0.4382,0.48,0.2335,0.2728,0.0508,0.15,0.275,0.2416,0.874,0.0,3.2866,3.2868
Rerank-CrossEncoder-Hybrid,0.18,0.195,0.195,0.195,0.195,0.3315,0.3675,0.2717,0.2766,0.1283,0.4269,0.4625,0.2935,0.3177,0.101,0.4973,0.5425,0.3047,0.3425,0.0598,0.1275,0.2901,0.2568,0.872,0.383,3.1614,3.5446
Rerank-Qwen3Reranker-Hybrid,0.203,0.235,0.235,0.235,0.235,0.3617,0.41,0.3133,0.3079,0.14,0.4265,0.4775,0.3286,0.3354,0.101,0.5218,0.5725,0.3418,0.3688,0.0628,0.135,0.2912,0.2583,0.876,10.0157,3.3809,13.3967
Rerank-BGEReranker-Hybrid,0.1929,0.215,0.215,0.215,0.215,0.3546,0.395,0.2942,0.2968,0.1367,0.4251,0.4775,0.3124,0.3265,0.1005,0.5188,0.5675,0.3247,0.3593,0.0625,0.1425,0.2955,0.2603,0.868,2.9025,3.1048,6.0074
Rerank-JinaReranker-Hybrid,0.2271,0.2525,0.2525,0.2525,0.2525,0.4011,0.4575,0.3433,0.3407,0.1558,0.473,0.525,0.3588,0.3712,0.1115,0.5305,0.585,0.367,0.3914,0.0635,0.145,0.2913,0.2558,0.884,1.303,3.0086,4.3117
